iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
1,11.0,11.0,FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,idx_L,11,-4.2883734703063965,8.999314030304276e-06,0.0002314109322078,1,-,-4.773730278015137,9.04222744556887e-07,2.712668233670661e-05,1,-,0.48535680770874023,0.48535680770874023,-1,-1,False,shared_same_direction
1,24.0,24.0,PH,Area_PH,MT + _Complex,idx_L,24,-2.320718050003052,0.0101510329506736,0.0553692706400379,0,,-3.389697313308716,0.0003498491726547,0.0040627645856684,1,-,1.0689792633056636,1.0689792633056636,-1,-1,False,lemma_sum_only
1,37.0,37.0,5mv,Area_5m_ventral,ParaCentral_MidCing,idx_L,37,3.0321974754333496,0.0012139015937048,0.0118109344252366,0,,3.5669314861297607,0.0001805929325084,0.0023219091322512,1,+,-0.5347340106964111,0.5347340106964111,1,1,False,lemma_sum_only
1,41.0,41.0,55b,Area_55b,Premotor,idx_L,41,-3.64417576789856,0.0001341250303477,0.0024142505462595,1,-,-3.187405824661255,0.0007177759919066,0.0069837664077401,0,,-0.45676994323730513,0.45676994323730513,-1,-1,False,lemma_mean_only
1,49.0,49.0,FOP1,Frontal_Opercular_Area_1,Posterior_Opercular,idx_L,49,3.393906831741333,0.0003445156490625,0.0042767459883628,1,+,3.786545991897583,7.637791657230364e-05,0.0012498204530013,1,+,-0.39263916015625,0.39263916015625,1,1,False,shared_same_direction
1,60.0,60.0,A4,Auditory_4_Complex,Auditory_Association,idx_L,60,-6.414751529693604,7.052636219484058e-11,1.2694745195071304e-08,1,-,-6.343550682067871,1.1226452953793463e-10,2.0207615316828238e-08,1,-,-0.07120084762573331,0.07120084762573331,-1,-1,False,shared_same_direction
1,61.0,61.0,A5,Auditory_5_Complex,Auditory_Association,idx_L,61,-5.373289585113525,3.865650651230856e-08,2.7832684688862163e-06,1,-,-5.88075590133667,2.0419853563050664e-09,1.470229456539648e-07,1,-,0.5074663162231445,0.5074663162231445,-1,-1,False,shared_same_direction
1,67.0,67.0,TA2,Area_TA2,Auditory_Association,idx_L,67,-3.364112138748169,0.00038395167541,0.0046074201049208,1,-,-3.366523504257202,0.0003806104741005,0.0042818678336312,1,-,0.002411365509033203,0.002411365509033203,-1,-1,False,shared_same_direction
1,78.0,78.0,PoI1,Area_Posterior_Insular_1,Insula_FrontalOperc,idx_L,78,3.4007694721221924,0.0003359823466791,0.0042767459883628,1,+,3.2856359481811523,0.0005087621346137,0.0052329819560274,0,,0.11513352394104004,0.11513352394104004,1,1,False,lemma_mean_only
1,79.0,79.0,PoI2,Posterior_Insular_Area_2,Insula_FrontalOperc,idx_L,79,3.6554009914398193,0.0001283901483631,0.0024142505462595,1,+,4.086630821228027,2.1884136844587693e-05,0.0004376827368917,1,+,-0.431229829788208,0.431229829788208,1,1,False,shared_same_direction
1,84.0,84.0,TF,Area_TF,Medial_Temporal,idx_L,84,-4.752567291259766,1.0042494573016443e-06,3.286634587532655e-05,1,-,-4.554033756256104,2.631345279253342e-06,6.766316432365738e-05,1,-,-0.19853353500366122,0.19853353500366122,-1,-1,False,shared_same_direction
1,88.0,88.0,PHT,Area_PHT,Lateral_Temporal,idx_L,88,-5.309626579284668,5.49250349455671e-08,3.295502096734026e-06,1,-,-5.325108051300049,5.044652336598488e-08,3.026791401959093e-06,1,-,0.01548147201538086,0.01548147201538086,-1,-1,False,shared_same_direction
1,91.0,91.0,TE1p,Area_TE1_posterior,Lateral_Temporal,idx_L,91,-5.011147975921631,2.705314376762592e-07,1.2173914695431662e-05,1,-,-5.976655960083008,1.1388224948694962e-09,1.0249402453825467e-07,1,-,0.965507984161377,0.965507984161377,-1,-1,False,shared_same_direction
1,93.0,93.0,TE2p,Area_TE2_posterior,Lateral_Temporal,idx_L,93,-4.946282863616943,3.782200894003865e-07,1.3615923218413914e-05,1,-,-5.056085109710693,2.139752035226007e-07,8.559008140904028e-06,1,-,0.10980224609375,0.10980224609375,-1,-1,False,shared_same_direction
1,98.0,98.0,TPOJ1,Area_TemporoParietoOccipital_Junction_1,TPO,idx_L,98,-3.617120504379273,0.0001489493175584,0.0025534168724298,1,-,-2.8613619804382324,0.0021091256297721,0.0151857045343592,0,,-0.7557585239410405,0.7557585239410405,-1,-1,False,lemma_mean_only
1,130.0,130.0,POS2,Parieto-Occipital_Sulcus_Area_2,Posterior_Cingulate,idx_L,130,2.6526496410369877,0.003993135962257,0.0281868420865201,0,,3.827275514602661,6.478472992601923e-05,0.0011661251386683,1,+,-1.1746258735656734,1.1746258735656734,1,1,False,lemma_sum_only
1,154.0,154.0,47 m,Area_47m,OrbPolaFrontal,idx_L,154,-3.401160478591919,0.000335502119377,0.0042767459883628,1,-,-3.3045809268951416,0.0004755925519452,0.0050787389940184,0,,-0.09657955169677734,0.09657955169677734,-1,-1,False,lemma_mean_only
1,163.0,163.0,IFJa,Area_IFJa,Inferior_Frontal,idx_L,163,-3.5888688564300537,0.0001660579236863,0.0027173114785043,1,-,-3.1260693073272705,0.0008857989705901,0.0081766058823704,0,,-0.4627995491027832,0.4627995491027832,-1,-1,False,lemma_mean_only
1,164.0,164.0,IFJp,Area_IFJp,Inferior_Frontal,idx_L,164,-4.953848838806152,3.6379868724219516e-07,1.3615923218413914e-05,1,-,-4.5600175857543945,2.557466858528108e-06,6.766316432365738e-05,1,-,-0.3938312530517578,0.3938312530517578,-1,-1,False,shared_same_direction
